customer_id,first_sample_date,sample_count,total_orders,sample_ratio
8864279624shi,2025-02-07 10:40:00,1,2,50.00%
aoyixiaobo,2025-02-07 11:12:00,3,3,100.00%
cwlams,2025-02-04 10:06:00,1,1,100.00%
evanyxl,2025-02-08 17:25:00,1,1,100.00%
faithleee,2025-02-06 15:21:00,2,2,100.00%
jk71817,2025-02-04 18:18:00,1,1,100.00%
kanyshai_ruisha,2025-02-06 18:21:00,1,1,100.00%
lichjy,2025-02-05 12:17:00,1,1,100.00%
lixinan老板,2025-02-08 18:07:00,1,1,100.00%
seal667115,2025-02-06 15:57:00,1,1,100.00%
season珍珍,2025-02-06 13:17:00,1,2,50.00%
shadow4502,2025-02-08 13:40:00,1,1,100.00%
tb1107600139,2025-02-05 10:08:00,1,2,50.00%
tb155428_2012,2025-02-06 11:26:00,1,1,100.00%
tb367984580,2025-02-05 10:34:00,1,1,100.00%
tb71943324,2025-02-06 12:55:00,1,1,100.00%
tb99471374,2025-02-04 18:30:00,1,1,100.00%
tb_6067170,2025-02-08 21:58:00,1,1,100.00%
xmafkjjsxy,2025-02-05 16:27:00,1,1,100.00%
yhj84561,2025-02-05 12:17:00,1,1,100.00%
不孤单的day_noi,2025-02-06 16:25:00,1,1,100.00%
仕萍同学,2025-02-08 10:55:00,1,1,100.00%
你我懂得了吗,2025-02-08 13:40:00,1,2,50.00%
北辰大大o,2025-02-07 17:16:00,1,1,100.00%
十位一号_cr,2025-02-05 16:42:00,1,1,100.00%
小啊小啊染,2025-02-06 10:07:00,1,1,100.00%
微信推荐客户,2025-02-05 18:28:00,1,1,100.00%
懒鱼鱼鱼鱼520,2025-02-06 11:14:00,1,2,50.00%
我可没空刮胡子,2025-02-05 10:02:00,1,1,100.00%
扰乱地球和平,2025-02-05 11:26:00,1,1,100.00%
梅梅1324641966,2025-02-07 10:35:00,1,1,100.00%
童小燕561302946,2025-02-05 17:19:00,1,1,100.00%
童心未泯_120,2025-02-07 17:13:00,1,2,50.00%
阳光总在风雨后cathy,2025-02-05 14:26:00,2,2,100.00%
靛青萌酱,2025-02-07 15:42:00,1,1,100.00%
马月亮呀,2025-02-08 11:36:00,1,1,100.00%
